,index,func_id,fun_loc,fun_cplx,mod_loc,mod_cplx,fun_nChanges,mod_nChanges,fun_nAuth,mod_nAuth,n_input,n_decl,n_coloc_funs,locom,n_sanity_check,n_cast,n_null_ptr,n_ptr_mod,avg_contr_follow,avg_contr_forks,avg_contr_repos,avg_contr_start,avg_contr_watch,is_vuln,filepath,funcname,sec_large_add,large_del,max_com_mod_span,max_com_func_span,min_contrib_com,year
2190,1264,tc_ctl_tclass_net%sched%sch_api_90f62cf30a78721641e08737bda787552428061e_CVE-2014-0181,139.0,30.0,1933.0,387.0,20.0,162.0,5.0,44.0,2.0,27.0,63.0,30.0,8.0,0.0,0.0,0.0,53.0,2.453003003003003,12.6,6.049399399399401,6.049399399399401,True,net/sched/sch_api.c,tc_ctl_tclass,11,111,8705,119390,7,2014
2191,1265,generic_permission_fs%namei_23adbe12ef7d3d4195e80800ab36b37bee28cd03_CVE-2014-4014,42.0,11.0,4462.0,817.0,14.0,661.0,5.0,100.0,2.0,1.0,112.0,14.0,15.0,0.0,0.0,0.0,17064.4,814.7868421052632,21.0,2256.012456140351,2256.012456140351,True,fs/namei.c,generic_permission,13,45,8705,119390,82,2014
2192,1266,udf_readdir_fs%udf%dir_0e5cc9a40ada6046e6bc3bdfcd0c0d7e4b706b14_CVE-2014-9731,155.0,33.0,199.0,33.0,18.0,26.0,3.0,13.0,2.0,42.0,1.0,2.0,10.0,1.0,0.0,0.0,10.333333333333334,0.2238562091503268,9.666666666666666,0.6274509803921569,0.6274509803921569,True,fs/udf/dir.c,udf_readdir,21,24,8705,119390,8,2014
2193,1267,kvm_set_msr_arch%x86%kvm%x86_854e8bb1aa06c578c2c9145fa6bfe3680ef63b23_CVE-2014-3610,5.0,1.0,7717.0,1396.0,3.0,963.0,0.0,146.0,2.0,0.0,310.0,0.0,0.0,0.0,0.0,0.0,30.07142857142857,1.1825757575757576,7.333333333333332,2.9367399804496577,2.9367399804496577,True,arch/x86/kvm/x86.c,kvm_set_msr,0,2,3,10,2,2014
2194,1268,cgw_create_job_net%can%gw_90f62cf30a78721641e08737bda787552428061e_CVE-2014-0181,76.0,15.0,997.0,189.0,9.0,23.0,4.0,11.0,2.0,6.0,32.0,6.0,1.0,0.0,0.0,0.0,52.25,1.9557739557739562,12.0,6.458845208845209,6.458845208845209,True,net/can/gw.c,cgw_create_job,5,71,19,47,43,2014
2195,1269,setattr_copy_fs%attr_23adbe12ef7d3d4195e80800ab36b37bee28cd03_CVE-2014-4014,26.0,9.0,278.0,58.0,6.0,40.0,3.0,29.0,2.0,8.0,4.0,0.0,4.0,0.0,0.0,0.0,33.0,1.306501547987616,18.33333333333333,4.222394220846232,4.222394220846232,True,fs/attr.c,setattr_copy,0,2,7,9,680,2014
2196,1270,wrmsr_interception_arch%x86%kvm%svm_854e8bb1aa06c578c2c9145fa6bfe3680ef63b23_CVE-2014-3610,22.0,2.0,4445.0,585.0,8.0,414.0,0.0,58.0,1.0,20.0,212.0,0.0,1.0,1.0,0.0,0.0,30.07142857142857,1.1825757575757576,7.333333333333332,2.9367399804496577,2.9367399804496577,True,arch/x86/kvm/svm.c,wrmsr_interception,5,5,6,70,2,2014
2197,1271,fst_get_iface_drivers%net%wan%farsync_96b340406724d87e4621284ebac5e059d67b2194_CVE-2014-1444,56.0,11.0,2677.0,273.0,2.0,36.0,0.0,24.0,3.0,2.0,56.0,9.0,3.0,0.0,0.0,0.0,30.07142857142857,1.1825757575757576,7.333333333333332,2.9367399804496577,2.9367399804496577,True,drivers/net/wan/farsync.c,fst_get_iface,0,52,8705,119390,781,2014
2198,1272,udf_symlink_filler_fs%udf%symlink_0e5cc9a40ada6046e6bc3bdfcd0c0d7e4b706b14_CVE-2014-9731,53.0,4.0,134.0,13.0,10.0,17.0,4.0,10.0,2.0,16.0,2.0,3.0,0.0,0.0,0.0,0.0,7.75,0.1678921568627451,9.0,0.4705882352941176,0.4705882352941176,True,fs/udf/symlink.c,udf_symlink_filler,13,36,8705,119390,18,2014
2199,1273,ip4_datagram_release_cb_net%ipv4%datagram_9709674e68646cee5a24e3000b3558d25412203a_CVE-2014-9914,24.0,6.0,112.0,19.0,2.0,25.0,0.0,15.0,1.0,11.0,2.0,0.0,2.0,0.0,0.0,0.0,30.07142857142857,1.1825757575757576,7.333333333333332,2.9367399804496577,2.9367399804496577,True,net/ipv4/datagram.c,ip4_datagram_release_cb,0,23,1,1,122,2014
