,func_id,fun_loc,fun_cplx,mod_loc,mod_cplx,fun_nChanges,mod_nChanges,fun_nAuth,mod_nAuth,n_input,n_decl,n_coloc_funs,locom,n_sanity_check,n_cast,n_null_ptr,n_ptr_mod,avg_contr_follow,avg_contr_forks,avg_contr_repos,avg_contr_start,avg_contr_watch,is_vuln,filepath,funcname,sec_large_add,large_del,max_com_mod_span,max_com_func_span,min_contrib_com
14263,avresample_read_libavresample%utils,8,2.0,792,202.0,3,49,2,7,3,0,20,0,1,1,1,0,22.5,0.27179487179487183,14.0,1.5230769230769232,1.5230769230769232,False,libavresample/utils.c,avresample_read,2,4,10,47,1168
14264,hexchar2int_libavutil%opt,11,7.0,2197,626.0,1,232,1,26,1,0,73,0,6,0,0,0,126.0,0.4444444444444444,9.0,1.5555555555555556,1.5555555555555556,False,libavutil/opt.c,hexchar2int,0,6,2,37,13122
14266,av_opt_set_image_size_libavutil%opt,26,6.0,2197,626.0,1,232,1,26,5,9,73,0,2,4,0,0,5.0,0.0,9.0,0.4444444444444444,0.4444444444444444,False,libavutil/opt.c,av_opt_set_image_size,0,21,1,8,1867
14267,av_sf2double_libavutil%softfloat.h,9,2.0,259,39.0,1,45,1,12,1,0,14,0,1,4,0,0,126.0,0.4444444444444444,9.0,1.5555555555555556,1.5555555555555556,False,libavutil/softfloat.h,av_sf2double,0,5,2,2,13122
14268,av_display_rotation_get_libavutil%display,17,3.0,73,8.0,4,9,3,4,1,2,3,0,0,0,0,0,79.66666666666667,0.6401021711366539,24.33333333333333,2.120817369093231,2.120817369093231,False,libavutil/display.c,av_display_rotation_get,2,17,2,3,336
14269,av_add_stable_libavutil%mathematics,25,4.0,211,46.0,5,58,1,15,4,14,9,0,1,2,0,0,126.0,0.4444444444444444,9.0,1.5555555555555556,1.5555555555555556,False,libavutil/mathematics.c,av_add_stable,8,13,1,1,13122
14270,dering_altivec_libpostproc%postprocess_altivec_template,115,1.0,1210,21.0,11,28,3,7,3,370,7,7,0,3,0,0,70.66666666666667,1.7550595238095237,70.33333333333333,2.887996031746032,2.887996031746032,False,libpostproc/postprocess_altivec_template.c,dering_altivec,66,224,21,49,695
14271,ff_get_cpu_flags_aarch64_libavutil%aarch64%cpu,6,1.0,28,1.0,2,4,1,3,0,0,1,0,0,0,0,0,18.0,0.05555555555555555,18.0,0.3888888888888889,0.3888888888888889,False,libavutil/aarch64/cpu.c,ff_get_cpu_flags_aarch64,0,5,2,3,266
14272,isVertMinMaxOk_C_libpostproc%postprocess,24,6.0,1044,163.0,4,120,2,20,3,1,22,0,16,4,0,0,52.5,0.8999999999999999,20.0,2.6,2.6,False,libpostproc/postprocess.c,isVertMinMaxOk_C,1,27,4,49,776
14273,set_string_pixel_fmt_libavutil%opt,7,1.0,2197,626.0,1,232,1,26,4,0,73,0,0,0,0,0,5.0,0.0,9.0,0.4444444444444444,0.4444444444444444,False,libavutil/opt.c,set_string_pixel_fmt,0,5,1,4,1867
14274,free_func_wrap_libavutil%threadmessage,6,1.0,222,28.0,2,6,1,2,3,3,12,0,0,0,1,0,71.0,1.2,35.0,4.6,4.6,False,libavutil/threadmessage.c,free_func_wrap,0,5,1,4,776
14275,conv_fltp_to_s16_2ch_neon_libswresample%aarch64%audio_convert_init,6,1.0,67,18.0,1,1,1,1,3,0,4,0,0,0,0,0,126.0,0.4444444444444444,9.0,1.5555555555555556,1.5555555555555556,False,libswresample/aarch64/audio_convert_init.c,conv_fltp_to_s16_2ch_neon,0,3,3,6,13122
14276,av_opt_get_int_libavutil%opt,16,2.0,2197,626.0,1,232,1,26,4,7,73,0,3,0,0,0,21.0,0.07692307692307693,13.0,1.8461538461538465,1.8461538461538465,False,libavutil/opt.c,av_opt_get_int,0,11,1,8,1936
14277,av_sf2int_libavutil%softfloat.h,9,2.0,259,39.0,7,45,3,12,2,0,14,0,1,0,0,0,52.0,1.3386243386243386,9.333333333333334,2.4947089947089958,2.4947089947089958,False,libavutil/softfloat.h,av_sf2int,1,5,4,25,25
